review,rating,date,bank,source,polarity,subjectivity,sentiment,vader_compound,vader_sentiment,analysis_timestamp
"It does not show the name of the person who sent the money to request a receipt. This has become very difficult for us. When different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",3,2025-10-01,BOA,Google Play Store,-0.26,0.665,negative,-0.6794,negative,2025-11-29 15:46:39.451948
"I would like to share feedback regarding the application. It frequently experiences disruptions and does not function properly, often freezing or failing to load. This issue is affecting workflow and efficiency. Kindly review and address this problem to ensure smoother performance.",1,2025-11-08,BOA,Google Play Store,0.2333333333333333,0.43333333333333335,positive,0.4166,positive,2025-11-29 15:46:39.451948
"Your application is very irritating to use, some functionality doesn't even work like on the card management. You need to do better than this and it good idea to reference other banking applications.",3,2025-11-04,BOA,Google Play Store,0.13874999999999998,0.61875,positive,0.102,positive,2025-11-29 15:46:39.451948
It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,2025-11-22,BOA,Google Play Store,0.06818181818181818,0.3939393939393939,neutral,-0.4019,negative,2025-11-29 15:46:39.451948
I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,2025-11-18,BOA,Google Play Store,-0.13333333333333333,0.7880952380952381,negative,-0.8834,negative,2025-11-29 15:46:39.451948
On my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. Please fix the issue my beloved bank of abyssinia.,1,2025-09-15,BOA,Google Play Store,0.4,0.7125,positive,0.5656,positive,2025-11-29 15:46:39.451948
Why does it keep crashing? I can't even use this. BOA should do better. You have many customers and how to deal with this. I can't send money now.,1,2025-10-05,BOA,Google Play Store,0.5,0.5,positive,0.4404,positive,2025-11-29 15:46:39.451948
its nice app especially the transaction limit is extended but We face that BoA m.banking app doesn't respond at the activation stage strictly at SMSNG mobile phone. please try this to make safe.,4,2025-09-11,BOA,Google Play Store,0.3666666666666667,0.8333333333333334,positive,0.8271,positive,2025-11-29 15:46:39.451948
"I don't know what is wrong with BOA as a bank in general. It's been going backwards since last year or so. The app is a disaster to use in every possible way. Not stable to log in and very slow to perform transactions, couldn't take a screenshot (or can't even find the pictures even using its save screenshot option). Most of the time, it fails to perform transactions and so on. Simply, it's the worst!",1,2024-08-03,BOA,Google Play Store,-0.20444444444444446,0.5715343915343916,negative,-0.9198,negative,2025-11-29 15:46:39.451948
this app launch time is so long also has dozen bugs in addition it's has been long time get update,1,2025-11-05,BOA,Google Play Store,-0.05,0.4,neutral,0.0,neutral,2025-11-29 15:46:39.451948
